TransactionID,Date,Store,City,ProductCategory,Sales,Customers,Satisfaction,DiscountPercent
106,2023-04-26,Store A,Toronto,Home,2476.91,47.0,4.3,10
107,2025-07-19,Store E,Kingston,Home,2182.35,105.0,4.6,15
108,2023-09-25,Store H,Windsor,Electronics,1761.81,56.0,2.9,15
109,2024-01-18,Store B,Ottawa,Books,1322.58,70.0,3.4,25
110,2023-12-07,Store B,Ottawa,Clothing,2410.36,99.0,3.0,15
111,2023-09-07,Store A,Toronto,Books,1682.78,80.0,4.2,5
112,2024-06-10,Store C,Hamilton,Home,1870.2,79.0,3.9,0
113,2024-03-20,Store B,Ottawa,Home,1373.64,119.0,4.4,25
114,2025-10-03,Store E,Kingston,Books,1213.13,68.0,,15
115,2025-03-16,Store F,Mississauga,Books,1232.61,66.0,,15
116,2023-06-07,Store H,Windsor,Sports,2229.81,73.0,4.3,5
117,2024-03-06,Store D,London,Clothing,1407.24,83.0,4.1,10
118,2024-10-27,Store B,Ottawa,Food,1156.31,45.0,4.4,10
119,2024-07-06,Store D,London,Electronics,1019.66,75.0,4.0,0
120,2024-01-05,Store A,Toronto,Sports,1903.04,109.0,3.4,10
121,2023-02-13,Store A,Toronto,Electronics,2223.88,78.0,3.7,15
122,2023-03-16,Store G,Waterloo,Home,666.17,45.0,3.1,0
123,2023-09-16,Store D,London,Clothing,1265.11,54.0,4.3,15
124,2025-07-31,Store E,Kingston,Electronics,1875.64,58.0,,0
125,2024-03-17,Store C,Hamilton,Electronics,420.59,96.0,,0
126,2023-03-05,Store B,Ottawa,Sports,2062.9,57.0,4.1,5
127,2025-02-01,Store A,Toronto,Electronics,1717.5,102.0,4.3,0
128,2023-06-21,Store C,Hamilton,Home,1558.29,145.0,3.8,25
129,2023-07-22,Store F,Mississauga,Sports,1992.77,120.0,4.0,0
130,2023-02-02,Store C,Hamilton,Electronics,1305.81,85.0,3.8,10
131,2025-12-19,Store C,Hamilton,Books,2637.65,156.0,,10
132,2024-10-01,Store H,Windsor,Books,1465.01,39.0,,15
133,2025-04-01,Store F,Mississauga,Sports,893.8,112.0,3.7,20
134,2023-08-01,Store F,Mississauga,Home,2627.94,100.0,,5
135,2023-01-26,Store A,Toronto,Clothing,2386.51,96.0,3.8,10
136,2025-11-07,Store A,Toronto,Clothing,1931.7,135.0,4.1,20
137,2025-09-30,Store C,Hamilton,Books,1808.38,64.0,3.9,5
138,2025-02-17,Store A,Toronto,Home,1293.89,87.0,5.0,5
139,2024-08-16,Store C,Hamilton,Home,1505.6,50.0,4.4,10
140,2023-01-15,Store C,Hamilton,Electronics,653.21,66.0,4.1,15
141,2023-05-22,Store A,Toronto,Electronics,2397.79,96.0,4.1,0
142,2025-05-16,Store H,Windsor,Sports,1027.42,73.0,4.7,0
143,2024-11-18,Store A,Toronto,Food,2606.35,135.0,4.3,10
144,2023-03-20,Store C,Hamilton,Home,1111.1,73.0,3.7,15
145,2023-03-30,Store C,Hamilton,Food,1725.41,94.0,4.0,15
146,2025-02-25,Store B,Ottawa,Books,1345.49,76.0,4.1,20
147,2024-08-25,Store D,London,Sports,2587.99,,4.8,10
148,2025-01-10,Store G,Waterloo,Sports,2036.73,96.0,4.8,0
149,2023-06-07,Store A,Toronto,,1354.76,119.0,3.8,10
150,2025-07-23,Store F,Mississauga,Home,2322.66,89.0,3.6,10
151,2023-11-09,Store F,Mississauga,Sports,3180.48,151.0,4.5,0
152,2023-07-26,Store H,Windsor,Sports,1220.65,84.0,4.3,0
153,2025-03-16,Store G,Waterloo,Books,2029.46,81.0,4.0,5
154,2025-10-07,Store E,Kingston,Books,822.71,75.0,4.6,5
155,2023-01-11,Store A,Toronto,,2005.43,66.0,4.7,0
156,2023-05-10,Store E,Kingston,Sports,1493.32,74.0,3.8,5
157,2024-03-01,Store D,London,Electronics,1346.36,65.0,3.7,25
158,2024-08-06,Store G,Waterloo,Sports,1451.07,58.0,5.0,5
159,2024-01-05,Store B,Ottawa,Home,2032.16,73.0,3.6,5
160,2024-01-12,Store B,Ottawa,Clothing,2066.6,113.0,3.8,15
161,2025-09-25,Store B,Ottawa,Sports,1504.31,103.0,3.8,0
162,2025-02-09,Store B,Ottawa,Food,1830.22,90.0,4.5,5
163,2024-09-05,Store H,Windsor,Sports,1532.63,,4.5,5
164,2025-02-03,Store D,London,Electronics,1524.01,91.0,5.0,10
165,2024-11-25,Store A,Toronto,Food,2523.7,119.0,4.4,15
166,2024-03-05,Store F,Mississauga,Clothing,2487.77,103.0,3.8,20
167,2024-02-07,Store B,Ottawa,Home,2175.61,88.0,4.1,5
168,2025-02-11,Store E,Kingston,Books,353.85,24.0,3.0,5
169,2024-12-04,Store E,Kingston,Food,1743.73,105.0,4.0,15
170,2025-05-22,Store H,Windsor,Books,1465.43,71.0,3.6,0
171,2025-11-20,Store C,Hamilton,Food,2423.31,108.0,4.3,5
172,2025-12-12,Store G,Waterloo,Food,2534.68,88.0,3.8,5
173,2023-07-19,Store A,Toronto,Home,2084.1,90.0,4.3,0
174,2023-08-10,Store E,Kingston,Sports,1362.53,97.0,5.0,20
175,2023-05-25,Store H,Windsor,Electronics,1383.55,64.0,5.0,15
176,2025-11-07,Store D,London,Home,2829.7,74.0,4.4,0
177,2025-10-12,Store G,Waterloo,,1718.72,75.0,4.2,0
178,2024-11-11,Store E,Kingston,Home,1424.67,113.0,,0
179,2023-10-20,Store H,Windsor,Sports,1603.98,66.0,,10
180,2025-02-12,Store H,Windsor,Electronics,1542.25,77.0,3.9,5
181,2025-02-03,Store D,London,Electronics,312.41,55.0,3.8,10
182,2023-08-20,Store F,Mississauga,Books,1853.58,116.0,,0
183,2024-11-21,Store G,Waterloo,Electronics,1506.03,111.0,4.6,10
184,2023-07-23,Store C,Hamilton,,1942.41,110.0,3.6,25
185,2023-10-05,Store F,Mississauga,Books,,101.0,4.7,25
186,2023-12-17,Store G,Waterloo,Home,2473.52,146.0,4.9,25
187,2025-10-26,Store D,London,Sports,620.35,78.0,3.8,5
188,2024-03-31,Store H,Windsor,Home,1592.95,76.0,4.0,25
189,2024-09-16,Store E,Kingston,Clothing,1081.22,63.0,3.8,15
190,2024-08-14,Store F,Mississauga,Books,1948.53,133.0,4.0,20
191,2025-07-29,Store F,Mississauga,Clothing,2229.97,120.0,3.5,5
192,2024-04-08,Store A,Toronto,Electronics,1036.85,81.0,4.3,20
193,2025-04-04,Store F,Mississauga,Electronics,2343.91,130.0,3.9,25
194,2023-05-18,Store A,Toronto,,1585.79,94.0,3.8,10
195,2024-07-08,Store A,Toronto,Books,1585.18,137.0,4.4,10
196,2024-05-05,Store B,Ottawa,,1853.3,75.0,4.5,5
197,2025-11-28,Store H,Windsor,Clothing,2530.8,116.0,3.5,10
198,2024-10-10,Store E,Kingston,Home,1395.93,54.0,,0
199,2023-01-26,Store A,Toronto,Home,962.15,,3.7,20
200,2023-12-05,Store C,Hamilton,Sports,1612.86,77.0,4.5,10
201,2023-02-11,Store B,Ottawa,Clothing,1555.35,57.0,4.0,10
202,2025-01-18,Store E,Kingston,Food,1588.34,75.0,3.6,15
203,2024-08-23,Store B,Ottawa,Food,1284.2,69.0,3.9,20
204,2024-09-14,Store B,Ottawa,Clothing,1275.4,102.0,3.1,5
205,2023-01-07,Store G,Waterloo,Books,2287.7,77.0,3.8,0
206,2023-02-06,Store E,Kingston,Electronics,861.71,29.0,3.7,10
207,2024-06-23,Store G,Waterloo,Food,1417.81,55.0,4.7,10
208,2025-03-24,Store D,London,Sports,1786.46,66.0,4.2,15
209,2025-05-08,Store D,London,Food,2737.91,61.0,4.7,15
210,2024-08-24,Store E,Kingston,Food,1576.22,112.0,3.8,0
211,2024-02-26,Store C,Hamilton,Electronics,1052.39,75.0,4.3,0
212,2023-07-22,Store H,Windsor,Books,1523.37,70.0,4.1,10
213,2025-10-23,Store F,Mississauga,Electronics,1165.77,132.0,3.7,0
214,2024-11-09,Store A,Toronto,Sports,1971.54,175.0,3.1,25
215,2024-07-20,Store A,Toronto,Clothing,2020.26,84.0,4.0,10
216,2025-09-26,Store C,Hamilton,Sports,1265.88,61.0,4.0,5
217,2025-07-24,Store H,Windsor,Books,1676.26,91.0,3.3,15
218,2025-05-17,Store C,Hamilton,Clothing,1281.12,90.0,4.1,25
219,2025-12-07,Store G,Waterloo,Food,2239.02,67.0,4.1,5
220,2025-01-02,Store G,Waterloo,Clothing,1162.5,88.0,3.9,5
221,2023-02-08,Store B,Ottawa,,561.63,79.0,3.9,0
222,2023-10-31,Store F,Mississauga,Books,17169.44,72.0,3.5,10
223,2024-09-17,Store E,Kingston,Electronics,1140.02,85.0,3.9,0
224,2025-10-08,Store D,London,Home,2732.76,99.0,3.4,10
225,2024-10-22,Store F,Mississauga,Books,1794.98,81.0,4.5,20
226,2025-01-06,Store H,Windsor,Sports,1123.72,64.0,3.9,0
227,2024-09-29,Store G,Waterloo,Sports,2209.15,121.0,5.0,5
228,2025-01-05,Store D,London,Home,1216.0,66.0,,20
229,2025-05-08,Store A,Toronto,Books,1578.05,82.0,4.5,25
230,2025-11-12,Store C,Hamilton,Electronics,2417.83,112.0,4.3,10
231,2023-11-22,Store F,Mississauga,Sports,1676.4,83.0,4.2,0
232,2025-06-22,Store H,Windsor,Books,1619.23,136.0,3.7,15
233,2025-05-08,Store E,Kingston,Books,903.6,48.0,,0
234,2024-09-20,Store D,London,Sports,2154.5,57.0,4.9,10
235,2025-07-15,Store C,Hamilton,Food,1570.89,99.0,,10
236,2024-08-03,Store C,Hamilton,Sports,2191.73,114.0,4.5,15
237,2023-12-12,Store B,Ottawa,Books,2654.52,76.0,4.0,5
238,2025-04-06,Store C,Hamilton,Sports,522.27,60.0,3.9,5
239,2025-08-28,Store D,London,Electronics,1833.49,74.0,3.9,5
240,2023-05-26,Store A,Toronto,Clothing,1199.55,90.0,,20
241,2024-06-03,Store B,Ottawa,Clothing,650.16,80.0,4.0,10
242,2024-08-25,Store H,Windsor,,5055.16,76.0,3.6,25
243,2025-11-14,Store C,Hamilton,Books,2137.44,157.0,3.8,15
244,2023-03-19,Store F,Mississauga,Electronics,1621.4,,4.0,0
245,2023-08-14,Store D,London,,1317.17,107.0,4.2,5
246,2024-05-18,Store E,Kingston,Food,1694.11,62.0,,15
247,2023-10-15,Store H,Windsor,Food,1860.45,98.0,4.2,20
248,2025-11-20,Store D,London,Sports,2137.59,128.0,4.3,5
249,2025-04-22,Store G,Waterloo,Books,2280.91,127.0,4.4,0
250,2025-06-10,Store F,Mississauga,Books,2046.56,,4.4,0
251,2025-09-30,Store A,Toronto,Clothing,1235.49,81.0,4.9,0
252,2023-06-11,Store F,Mississauga,Clothing,1838.49,118.0,3.6,15
253,2025-07-04,Store B,Ottawa,Books,2498.63,79.0,4.3,15
254,2025-03-31,Store C,Hamilton,Sports,,106.0,3.0,0
255,2024-05-06,Store C,Hamilton,Sports,2000.45,80.0,3.9,0
256,2025-08-28,Store C,Hamilton,Food,1496.01,81.0,4.3,5
257,2024-11-12,Store G,Waterloo,Home,1745.74,45.0,4.1,10
258,2023-05-23,Store E,Kingston,Clothing,5349.0599999999995,75.0,5.0,0
259,2025-05-21,Store F,Mississauga,Sports,665.31,118.0,4.2,0
260,2024-08-07,Store B,Ottawa,Books,1446.03,126.0,3.7,0
261,2023-10-09,Store F,Mississauga,Sports,2593.01,90.0,4.7,0
262,2024-09-14,Store F,Mississauga,Clothing,2860.99,79.0,3.9,0
263,2024-05-22,Store E,Kingston,Sports,1512.13,117.0,4.9,10
264,2025-07-09,Store G,Waterloo,Electronics,,100.0,3.9,10
265,2023-10-10,Store B,Ottawa,Clothing,1385.99,96.0,4.0,5
266,2024-04-08,Store G,Waterloo,Home,1575.51,99.0,4.5,25
267,2023-08-30,Store A,Toronto,Books,2200.91,119.0,4.2,20
268,2024-05-10,Store E,Kingston,Food,406.35,111.0,3.4,5
269,2024-11-01,Store D,London,Sports,,110.0,3.1,15
270,2023-01-30,Store F,Mississauga,Sports,1978.87,45.0,4.4,10
271,2025-03-26,Store F,Mississauga,Sports,1777.88,135.0,4.4,10
272,2024-05-29,Store F,Mississauga,Home,1196.02,84.0,3.7,10
273,2025-07-09,Store B,Ottawa,Food,2184.58,92.0,4.0,15
274,2024-02-25,Store D,London,Home,1643.71,119.0,4.1,5
275,2024-01-28,Store D,London,Clothing,1566.54,89.0,,15
276,2023-10-06,Store B,Ottawa,Electronics,1727.82,90.0,3.9,0
277,2024-09-24,Store G,Waterloo,Books,1619.18,,4.5,10
278,2024-09-14,Store D,London,Electronics,1763.29,46.0,4.3,10
279,2023-07-26,Store B,Ottawa,Food,2978.67,49.0,3.2,5
280,2025-09-28,Store A,Toronto,Home,1660.55,39.0,4.3,10
281,2025-02-19,Store F,Mississauga,Books,1885.51,111.0,3.6,0
282,2024-12-20,Store A,Toronto,Home,3397.54,147.0,,10
283,2025-01-02,Store C,Hamilton,Clothing,1448.97,28.0,3.9,0
284,2023-09-14,Store E,Kingston,Clothing,2216.56,58.0,,5
285,2025-02-07,Store C,Hamilton,Electronics,1452.47,35.0,3.0,20
286,2024-01-06,Store G,Waterloo,Clothing,1891.35,103.0,3.5,5
287,2023-10-27,Store H,Windsor,Clothing,940.03,77.0,4.2,5
288,2025-05-12,Store B,Ottawa,Sports,1349.47,57.0,4.2,10
289,2025-02-08,Store A,Toronto,Electronics,,57.0,4.9,0
290,2025-09-05,Store B,Ottawa,Food,1817.44,95.0,4.3,10
291,2024-01-11,Store C,Hamilton,Books,1692.24,84.0,4.5,10
292,2023-09-01,Store D,London,Books,1027.7,98.0,4.2,15
293,2024-02-29,Store A,Toronto,Electronics,1537.55,108.0,3.7,20
294,2024-03-10,Store C,Hamilton,Food,,104.0,3.8,0
295,2023-01-10,Store D,London,Sports,1783.94,78.0,4.1,25
296,2025-06-30,Store A,Toronto,Electronics,2339.23,169.0,,10
297,2024-07-25,Store A,Toronto,Clothing,2276.23,146.0,3.8,10
298,2025-05-24,Store A,Toronto,Food,3091.09,125.0,3.4,5
299,2025-03-18,Store F,Mississauga,Home,1718.85,129.0,4.7,25
300,2024-10-02,Store C,Hamilton,Food,1692.99,104.0,4.4,10
301,2023-04-30,Store B,Ottawa,,780.76,122.0,3.7,0
302,2023-08-11,Store H,Windsor,Electronics,877.24,89.0,4.0,25
303,2025-12-07,Store G,Waterloo,Sports,1961.55,149.0,3.4,20
304,2024-09-12,Store C,Hamilton,Sports,1568.44,10.0,4.3,15
305,2025-07-15,Store D,London,Electronics,1166.89,82.0,3.9,20
306,2025-09-20,Store C,Hamilton,Home,1890.28,92.0,3.8,0
307,2023-01-28,Store H,Windsor,Books,1089.03,107.0,4.7,0
308,2025-06-01,Store C,Hamilton,Books,1254.64,72.0,4.8,10
309,2025-11-18,Store B,Ottawa,Home,974.22,106.0,4.3,10
310,2024-03-26,Store H,Windsor,Electronics,1266.64,77.0,4.3,0
311,2024-11-11,Store G,Waterloo,Sports,2563.78,46.0,3.8,0
312,2024-06-11,Store C,Hamilton,Clothing,2303.57,79.0,4.2,15
313,2025-09-24,Store A,Toronto,Sports,1510.2,78.0,3.7,10
314,2024-10-30,Store C,Hamilton,Sports,1904.84,82.0,4.0,5
315,2025-02-01,Store C,Hamilton,Sports,881.26,71.0,3.8,25
316,2024-07-02,Store B,Ottawa,Electronics,1852.65,72.0,3.5,10
317,2025-04-25,Store F,Mississauga,Food,1199.78,,4.1,0
318,2024-06-29,Store B,Ottawa,Clothing,,49.0,3.9,5
319,2025-03-05,Store F,Mississauga,Home,1230.73,81.0,3.7,5
320,2025-08-28,Store E,Kingston,,1023.84,96.0,3.1,0
321,2023-02-27,Store D,London,Books,817.06,,4.0,5
322,2024-01-30,Store A,Toronto,Books,1006.48,118.0,,15
323,2025-05-01,Store E,Kingston,Home,1410.97,75.0,4.2,25
324,2023-12-31,Store G,Waterloo,Food,2568.76,76.0,,5
325,2025-07-25,Store E,Kingston,Sports,1696.22,125.0,,20
326,2023-01-20,Store E,Kingston,Clothing,2141.53,12.0,4.2,5
327,2025-04-24,Store H,Windsor,Food,1314.35,112.0,4.6,10
328,2024-10-16,Store H,Windsor,Books,1037.03,66.0,4.2,10
329,2023-12-08,Store H,Windsor,Clothing,1869.53,,4.1,10
330,2025-11-09,Store C,Hamilton,Sports,1351.49,100.0,3.9,5
331,2025-01-03,Store H,Windsor,Electronics,1630.74,89.0,4.4,15
332,2024-04-27,Store E,Kingston,Books,1240.95,11.0,4.2,10
333,2023-04-28,Store H,Windsor,Clothing,426.63,21.0,4.2,15
334,2024-07-09,Store A,Toronto,Clothing,2248.14,110.0,4.7,15
335,2024-11-03,Store E,Kingston,Sports,1511.65,111.0,3.9,5
336,2025-06-22,Store E,Kingston,Electronics,1689.75,78.0,3.6,10
337,2023-11-23,Store D,London,Electronics,2637.93,112.0,4.1,10
338,2024-02-03,Store B,Ottawa,Books,1461.07,63.0,3.6,20
339,2025-11-08,Store E,Kingston,Electronics,1396.02,55.0,3.7,10
340,2024-01-12,Store A,Toronto,Food,1519.83,93.0,4.2,15
341,2023-01-07,Store C,Hamilton,Books,1067.1,57.0,3.5,5
342,2024-02-17,Store F,Mississauga,Electronics,1989.14,,,5
343,2025-01-24,Store F,Mississauga,Home,2571.13,87.0,4.2,0
344,2024-05-08,Store G,Waterloo,Sports,1669.2,101.0,4.2,10
345,2025-10-01,Store H,Windsor,Electronics,1150.46,23.0,4.6,20
346,2023-09-24,Store G,Waterloo,,1718.26,121.0,4.4,5
347,2024-06-04,Store H,Windsor,Electronics,2055.04,68.0,4.0,25
348,2023-01-23,Store C,Hamilton,Electronics,1296.19,62.0,4.0,5
349,2023-01-05,Store G,Waterloo,Electronics,1873.55,76.0,4.4,0
350,2024-03-01,Store C,Hamilton,Books,1573.86,71.0,3.3,25
351,2025-02-22,Store A,Toronto,Books,2050.08,141.0,4.4,5
352,2025-01-03,Store D,London,Sports,2286.76,83.0,4.6,10
353,2025-01-25,Store G,Waterloo,Clothing,1360.55,58.0,4.0,0
354,2024-08-05,Store D,London,Books,1331.11,78.0,4.2,20
355,2025-05-07,Store F,Mississauga,,1665.31,131.0,3.6,25
356,2024-12-11,Store F,Mississauga,Books,2483.24,167.0,3.7,15
357,2025-07-09,Store B,Ottawa,Clothing,2164.01,97.0,3.8,5
358,2024-01-25,Store C,Hamilton,Home,1776.65,59.0,3.5,0
359,2023-12-23,Store B,Ottawa,Home,1671.53,86.0,4.4,15
360,2025-10-10,Store D,London,Home,1222.38,97.0,4.3,15
361,2023-07-24,Store F,Mississauga,Clothing,1531.17,132.0,4.0,0
362,2024-08-17,Store D,London,Home,,104.0,3.5,10
363,2025-04-03,Store E,Kingston,Books,445.18,112.0,,25
364,2023-12-02,Store H,Windsor,Home,1348.58,112.0,,5
365,2025-04-13,Store H,Windsor,Food,921.38,73.0,4.3,5
366,2024-03-29,Store D,London,Sports,1449.72,50.0,4.7,0
367,2025-05-10,Store C,Hamilton,Home,1116.03,56.0,3.8,0
368,2024-03-06,Store G,Waterloo,Sports,1311.87,91.0,4.3,10
369,2023-12-29,Store D,London,Books,2119.89,134.0,4.4,5
370,2023-05-24,Store B,Ottawa,Electronics,919.64,97.0,4.3,15
371,2023-09-22,Store F,Mississauga,Electronics,2392.88,66.0,4.5,15
372,2024-04-27,Store G,Waterloo,,1378.73,77.0,4.3,10
373,2023-07-18,Store E,Kingston,Food,1562.23,74.0,4.6,5
374,2025-10-16,Store F,Mississauga,Electronics,2631.39,90.0,4.9,10
375,2023-12-09,Store G,Waterloo,Sports,1990.56,135.0,3.8,15
376,2024-10-05,Store E,Kingston,Food,1883.11,49.0,3.7,5
377,2023-12-02,Store E,Kingston,Home,1277.76,,3.8,5
378,2024-04-01,Store B,Ottawa,Home,1735.52,49.0,3.5,5
379,2023-12-29,Store B,Ottawa,Food,1591.55,67.0,4.5,0
380,2025-03-15,Store D,London,Clothing,1849.41,72.0,4.2,10
381,2023-01-23,Store C,Hamilton,Food,1345.27,85.0,4.5,20
382,2025-03-09,Store E,Kingston,Clothing,1871.6,49.0,3.8,10
383,2024-11-19,Store H,Windsor,Electronics,1571.07,91.0,4.7,0
